system,rawRole,font,sizePx,weight,weightRange,lineHeight,lineHeightRange,letterSpacingPx,letterSpacingRange,uppercase,features,notes,rowIndex
kraken,Section Heading,Kraken-Brand,36,700,,1.22,,-0.5,,,,,1
kraken,Sub-heading,Kraken-Brand,28,700,,1.29,,-0.5,,,,,2
kraken,Feature Title,Kraken-Product,22,600,,1.2,,0,,,,,3
kraken,Body,Kraken-Product,16,400,,1.38,,0,,,,,4
kraken,Body Medium,Kraken-Product,16,500,,1.38,,0,,,,,5
kraken,Button,Kraken-Product,16,,500-600,1.38,,0,,,,,6
kraken,Caption,Kraken-Product,14,,400-700,,1.43-1.71,0,,,,,7
kraken,Small,Kraken-Product,12,,400-500,1.33,,0,,,,,8
kraken,Micro,Kraken-Product,7,500,,1,,,,,,,9
lamborghini,Hero Display,,120,400,,0.92,,0,,,,"LamboType, uppercase, maximum impact",0
lamborghini,Display 2,,80,400,,1.13,,0,,,,"LamboType, uppercase, major section titles",1
lamborghini,Section Title,,54,400,,1.19,,0,,,,"LamboType, uppercase",2
lamborghini,Sub-section,,40,400,,1.15,,0,,,,"LamboType, uppercase",3
lamborghini,Feature Heading,,27,400,,1.37,,0,,,,"LamboType, uppercase",4
lamborghini,Card Title,,24,400,,,,0,,,,LamboType,5
lamborghini,Body Large,,18,400,,1.56,,0,,,,"LamboType, mixed case and uppercase variants",6
lamborghini,Body / UI,,16,400,,1.5,,0,,,,"LamboType, primary body text",7
lamborghini,Button Large,,16,400,,1.5,,0,,,,Gold CTA buttons,8
lamborghini,Button Standard,,14.4,300,,1,,0.2,,,,"LamboType, uppercase, ghost buttons",9
lamborghini,Button Small,,13,300,,1.2,,0.2,,,,"LamboType, compact button variant",10
lamborghini,Caption,,14,600,,,1.14-1.5,-0.42,,,,"LamboType, uppercase, negative tracking",11
lamborghini,Label,,12,400,,1.83,,0.96,,,,"LamboType, uppercase badges and micro labels",12
lamborghini,Micro,,10,400,,,1-2,0.225,,,,"LamboType, uppercase, smallest text",13
linear.app,Display XL,Inter Variable,72,510,,1,,-1.584,,,,"Hero headlines, maximum impact",0
linear.app,Display Large,Inter Variable,64,510,,1,,-1.408,,,,Secondary hero text,1
linear.app,Display,Inter Variable,48,510,,1,,-1.056,,,,Section headlines,2
linear.app,Heading 1,Inter Variable,32,400,,1.13,,-0.704,,,,Major section titles,3
linear.app,Heading 2,Inter Variable,24,400,,1.33,,-0.288,,,,Sub-section headings,4
linear.app,Heading 3,Inter Variable,20,590,,1.33,,-0.24,,,,"Feature titles, card headers",5
linear.app,Body Large,Inter Variable,18,400,,1.6,,-0.165,,,,"Introduction text, feature descriptions",6
linear.app,Body Emphasis,Inter Variable,17,590,,1.6,,0,,,,"Emphasized body, sub-headings in content",7
linear.app,Body,Inter Variable,16,400,,1.5,,0,,,,Standard reading text,8
linear.app,Body Medium,Inter Variable,16,510,,1.5,,0,,,,"Navigation, labels",9
linear.app,Body Semibold,Inter Variable,16,590,,1.5,,0,,,,Strong emphasis,10
linear.app,Small,Inter Variable,15,400,,1.6,,-0.165,,,,Secondary body text,11
linear.app,Small Medium,Inter Variable,15,510,,1.6,,-0.165,,,,Emphasized small text,12
linear.app,Small Semibold,Inter Variable,15,590,,1.6,,-0.165,,,,Strong small text,13
linear.app,Small Light,Inter Variable,15,300,,1.47,,-0.165,,,,De-emphasized body,14
linear.app,Caption Large,Inter Variable,14,,510-590,1.5,,-0.182,,,,"Sub-labels, category headers",15
linear.app,Caption,Inter Variable,13,,400-510,1.5,,-0.13,,,,"Metadata, timestamps",16
linear.app,Label,Inter Variable,12,,400-590,1.4,,0,,,,"Button text, small labels",17
linear.app,Micro,Inter Variable,11,510,,1.4,,0,,,,Tiny labels,18
linear.app,Tiny,Inter Variable,10,,400-510,1.5,,-0.15,,,,"Overline text, sometimes uppercase",19
linear.app,Link Large,Inter Variable,16,400,,1.5,,0,,,,Standard links,20
linear.app,Link Medium,Inter Variable,15,510,,2.67,,0,,,,Spaced navigation links,21
linear.app,Link Small,Inter Variable,14,510,,1.5,,0,,,,Compact links,22
linear.app,Link Caption,Inter Variable,13,,400-510,1.5,,-0.13,,,,"Footer, metadata links",23
linear.app,Mono Body,Berkeley Mono,14,400,,1.5,,0,,,,Code blocks,24
linear.app,Mono Caption,Berkeley Mono,13,400,,1.5,,0,,,,Code labels,25
linear.app,Mono Label,Berkeley Mono,12,400,,1.4,,0,,,,"Code metadata, sometimes uppercase",26
lovable,Display Hero,Camera Plain Variable,60,600,,,1-1.1,-1.5,,,,"Maximum impact, editorial",0
lovable,Display Alt,Camera Plain Variable,60,480,,1,,0,,,,Lighter hero variant,1
lovable,Section Heading,Camera Plain Variable,48,600,,1,,-1.2,,,,Feature section titles,2
lovable,Sub-heading,Camera Plain Variable,36,600,,1.1,,-0.9,,,,Sub-sections,3
lovable,Card Title,Camera Plain Variable,20,400,,1.25,,0,,,,Card headings,4
lovable,Body Large,Camera Plain Variable,18,400,,1.38,,0,,,,Introductions,5
lovable,Body,Camera Plain Variable,16,400,,1.5,,0,,,,Standard reading text,6
lovable,Button,Camera Plain Variable,16,400,,1.5,,0,,,,Button labels,7
lovable,Button Small,Camera Plain Variable,14,400,,1.5,,0,,,,Compact buttons,8
lovable,Link,Camera Plain Variable,16,400,,1.5,,0,,,,Underline decoration,9
lovable,Link Small,Camera Plain Variable,14,400,,1.5,,0,,,,Footer links,10
lovable,Caption,Camera Plain Variable,14,400,,1.5,,0,,,,"Metadata, small text",11
minimax,Display Hero,DM Sans / Outfit,80,500,,1.1,,,,,,Hero headlines,0
minimax,Section Heading,Outfit,31,600,,1.5,,,,,,Feature section titles,1
minimax,Section Heading Alt,Roboto / DM Sans,32,600,,0.88,,,,,,Compact headers,2
minimax,Card Title,Outfit,28,,500-600,1.71,,,,,,Product card headings,3
minimax,Sub-heading,Poppins,24,500,,1.5,,,,,,Mid-tier headings,4
minimax,Feature Label,Poppins,18,500,,1.5,,,,,,Feature names,5
minimax,Body Large,DM Sans,20,500,,1.5,,,,,,Emphasized body,6
minimax,Body,DM Sans,16,,400-500,1.5,,,,,,Standard body text,7
minimax,Body Bold,DM Sans,16,700,,1.5,,,,,,Strong emphasis,8
minimax,Nav/Link,DM Sans,14,,400-500,1.5,,,,,,"Navigation, links",9
minimax,Button Small,DM Sans,13,600,,1.5,,,,,,Compact buttons,10
minimax,Caption,DM Sans / Poppins,13,400,,1.7,,,,,,Metadata,11
minimax,Small Label,DM Sans,12,,500-600,,1.25-1.5,,,,,"Tags, badges",12
minimax,Micro,DM Sans / Outfit,10,,400-500,,1.5-1.8,,,,,Tiny annotations,13
mintlify,Display Hero,Inter,64,600,,1.15,,-1.28,,,,"Maximum impact, hero headlines",0
mintlify,Section Heading,Inter,40,600,,1.1,,-0.8,,,,Feature section titles,1
mintlify,Sub-heading,Inter,24,500,,1.3,,-0.24,,,,"Card headings, sub-sections",2
mintlify,Card Title,Inter,20,600,,1.3,,-0.2,,,,Feature card titles,3
mintlify,Card Title Light,Inter,20,500,,1.3,,-0.2,,,,Secondary card headings,4
mintlify,Body Large,Inter,18,400,,1.5,,0,,,,"Hero descriptions, introductions",5
mintlify,Body,Inter,16,400,,1.5,,0,,,,Standard reading text,6
mintlify,Body Medium,Inter,16,500,,1.5,,0,,,,"Navigation, emphasized text",7
mintlify,Button,Inter,15,500,,1.5,,0,,,,Button labels,8
mintlify,Link,Inter,14,500,,1.5,,0,,,,"Navigation links, small CTAs",9
mintlify,Caption,Inter,14,,400-500,,1.5-1.71,0,,,,"Metadata, descriptions",10
mintlify,Label Uppercase,Inter,13,500,,1.5,,0.65,,,,"`text-transform: uppercase`, section labels",11
mintlify,Small,Inter,13,,400-500,1.5,,-0.26,,,,Small body text,12
mintlify,Mono Code,Geist Mono,12,500,,1.5,,0.6,,,,"`text-transform: uppercase`, technical labels",13
mintlify,Mono Badge,Geist Mono,12,600,,1.5,,0.6,,,,"`text-transform: uppercase`, status badges",14
mintlify,Mono Micro,Geist Mono,10,500,,1.5,,0,,,,"`text-transform: uppercase`, tiny labels",15
miro,Display Hero,Roobert PRO Medium,56,400,,1.15,,-1.68,,,,,0
miro,Section Heading,Roobert PRO Medium,48,400,,1.15,,-1.44,,,,,1
miro,Card Title,Roobert PRO Medium,24,400,,1.15,,-0.72,,,,,2
miro,Sub-heading,Noto Sans,22,400,,1.35,,-0.44,,,,,3
miro,Feature,Roobert PRO Medium,18,600,,1.35,,0,,,,,4
miro,Body,Noto Sans,18,400,,1.45,,0,,,,,5
miro,Body Standard,Noto Sans,16,,400-600,1.5,,-0.16,,,,,6
miro,Button,Roobert PRO Medium,17.5,700,,1.29,,0.175,,,,,7
miro,Caption,Roobert PRO Medium,14,400,,1.71,,0,,,,,8
miro,Small,Roobert PRO Medium,12,400,,1.15,,-0.36,,,,,9
miro,Micro Uppercase,Roobert PRO,10.5,400,,0.9,,,,,,,10
mistral.ai,Display / Hero,Arial (custom),82,400,,1,,-2.05,,,,"Maximum impact, billboard scale",0
mistral.ai,Section Heading,Arial (custom),56,400,,0.95,,0,,,,Feature section anchors,1
mistral.ai,Sub-heading Large,Arial (custom),48,400,,0.95,,0,,,,Secondary section titles,2
mistral.ai,Sub-heading,Arial (custom),32,400,,1.15,,0,,,,"Card headings, feature names",3
mistral.ai,Card Title,Arial (custom),30,400,,1.2,,0,,,,Mid-level headings,4
mistral.ai,Feature Title,Arial (custom),24,400,,1.33,,0,,,,Small headings,5
mistral.ai,Body / Button,Arial (custom),16,400,,1.5,,0,,,,"Standard body, button text",6
mistral.ai,Button Uppercase,Arial (custom),16,400,,1.5,,0,,,,Uppercase CTA labels,7
mistral.ai,Caption / Link,Arial (custom),14,400,,1.43,,0,,,,"Metadata, secondary links",8
mongodb,Display Hero,MongoDB Value Serif,96,400,,1.2,,0,,,,Serif authority,0
mongodb,Display Secondary,MongoDB Value Serif,64,400,,1,,0,,,,Serif sub-hero,1
mongodb,Section Heading,Euclid Circular A,36,500,,1.33,,0,,,,Geometric precision,2
mongodb,Sub-heading,Euclid Circular A,24,500,,1.33,,0,,,,Feature titles,3
mongodb,Body Large,Euclid Circular A,20,400,,1.6,,0,,,,Introductions,4
mongodb,Body,Euclid Circular A,18,400,,1.33,,0,,,,Standard body,5
mongodb,Body Light,Euclid Circular A,16,300,,,1.5-2,0,,,,Light-weight reading text,6
mongodb,Nav / UI,Euclid Circular A,16,500,,,1-1.88,0.16,,,,"Navigation, emphasized",7
mongodb,Body Bold,Euclid Circular A,15,700,,1.5,,0,,,,Strong emphasis,8
mongodb,Button,Euclid Circular A,13.5,,500-700,1,,0.135,,,,CTA labels,9
mongodb,Caption,Euclid Circular A,14,400,,1.71,,0,,,,Metadata,10
mongodb,Small,Euclid Circular A,11,600,,1.82,,0.2,,,,"Tags, annotations",11
mongodb,Code Heading,Source Code Pro,40,400,,1.6,,0,,,,Code showcase titles,12
mongodb,Code Body,Source Code Pro,16,400,,1.5,,0,,,,Code blocks,13
mongodb,Code Label,Source Code Pro,14,,400-500,1.14,,1,,,,`text-transform: uppercase`,14
mongodb,Code Micro,Source Code Pro,9,600,,2.67,,2.5,,,,`text-transform: uppercase`,15
notion,Display Hero,NotionInter,64,700,,1,,-2.125,,,,"Maximum compression, billboard headlines",0
notion,Display Secondary,NotionInter,54,700,,1.04,,-1.875,,,,"Secondary hero, feature headlines",1
notion,Section Heading,NotionInter,48,700,,1,,-1.5,,,,"Feature section titles, with `""lnum""`",2
notion,Sub-heading Large,NotionInter,40,700,,1.5,,0,,,,"Card headings, feature sub-sections",3
notion,Sub-heading,NotionInter,26,700,,1.23,,-0.625,,,,"Section sub-titles, content headers",4
notion,Card Title,NotionInter,22,700,,1.27,,-0.25,,,,"Feature cards, list titles",5
notion,Body Large,NotionInter,20,600,,1.4,,-0.125,,,,"Introductions, feature descriptions",6
notion,Body,NotionInter,16,400,,1.5,,0,,,,Standard reading text,7
notion,Body Medium,NotionInter,16,500,,1.5,,0,,,,"Navigation, emphasized UI text",8
notion,Body Semibold,NotionInter,16,600,,1.5,,0,,,,"Strong labels, active states",9
notion,Body Bold,NotionInter,16,700,,1.5,,0,,,,Headlines at body size,10
notion,Nav / Button,NotionInter,15,600,,1.33,,0,,,,"Navigation links, button text",11
notion,Caption,NotionInter,14,500,,1.43,,0,,,,"Metadata, secondary labels",12
notion,Caption Light,NotionInter,14,400,,1.43,,0,,,,"Body captions, descriptions",13
notion,Badge,NotionInter,12,600,,1.33,,0.125,,,,"Pill badges, tags, status labels",14
notion,Micro Label,NotionInter,12,400,,1.33,,0.125,,,,"Small metadata, timestamps",15
nvidia,Display Hero,NVIDIA-EMEA,36,700,,1.25,,0,,,,Maximum impact headlines,0
nvidia,Section Heading,NVIDIA-EMEA,24,700,,1.25,,0,,,,"Section titles, card headings",1
nvidia,Sub-heading,NVIDIA-EMEA,22,400,,1.75,,0,,,,"Feature descriptions, subtitles",2
nvidia,Card Title,NVIDIA-EMEA,20,700,,1.25,,0,,,,Card and module headings,3
nvidia,Body Large,NVIDIA-EMEA,18,700,,1.67,,0,,,,"Emphasized body, lead paragraphs",4
nvidia,Body,NVIDIA-EMEA,16,400,,1.5,,0,,,,Standard reading text,5
nvidia,Body Bold,NVIDIA-EMEA,16,700,,1.5,,0,,,,"Strong labels, nav items",6
nvidia,Body Small,NVIDIA-EMEA,15,400,,1.67,,0,,,,"Secondary content, descriptions",7
nvidia,Body Small Bold,NVIDIA-EMEA,15,700,,1.5,,0,,,,Emphasized secondary content,8
nvidia,Button Large,NVIDIA-EMEA,18,700,,1.25,,0,,,,Primary CTA buttons,9
nvidia,Button,NVIDIA-EMEA,16,700,,1.25,,0,,,,Standard buttons,10
nvidia,Button Compact,NVIDIA-EMEA,14.4,700,,1,,0.144,,,,Small/compact buttons,11
nvidia,Link,NVIDIA-EMEA,14,700,,1.43,,0,,,,Navigation links,12
nvidia,Link Uppercase,NVIDIA-EMEA,14,700,,1.43,,0,,,,"`text-transform: uppercase`, nav labels",13
nvidia,Caption,NVIDIA-EMEA,14,600,,1.5,,0,,,,"Metadata, timestamps",14
nvidia,Caption Small,NVIDIA-EMEA,12,400,,1.25,,0,,,,"Fine print, legal",15
nvidia,Micro Label,NVIDIA-EMEA,10,700,,1.5,,0,,,,"`text-transform: uppercase`, tiny badges",16
nvidia,Micro,NVIDIA-EMEA,11,700,,1,,0,,,,Smallest UI text,17
ollama,Display / Hero,SF Pro Rounded,48,500,,1,,0,,,,"Maximum impact, rounded letterforms",0
ollama,Section Heading,SF Pro Rounded,36,500,,1.11,,0,,,,Feature section titles,1
ollama,Sub-heading,SF Pro Rounded / ui-sans-serif,30,,400-500,1.2,,0,,,,"Card headings, feature names",2
ollama,Card Title,ui-sans-serif,24,400,,1.33,,0,,,,Medium emphasis headings,3
ollama,Body Large,ui-sans-serif,18,,400-500,1.56,,0,,,,"Hero descriptions, button text",4
ollama,Body / Link,ui-sans-serif,16,,400-500,1.5,,0,,,,"Standard body text, navigation",5
ollama,Caption,ui-sans-serif,14,400,,1.43,,0,,,,"Metadata, descriptions",6
ollama,Small,ui-sans-serif,12,400,,1.33,,0,,,,Smallest sans-serif text,7
ollama,Code Body,ui-monospace,16,400,,1.5,,0,,,,"Inline code, commands",8
ollama,Code Caption,ui-monospace,14,400,,1.43,,0,,,,"Code snippets, secondary",9
ollama,Code Small,ui-monospace,12,,400-700,1.63,,0,,,,"Tags, labels",10
opencode.ai,Heading 1,,38,700,,1.5,,,,,,"Hero headlines, page titles",0
opencode.ai,Heading 2,,16,700,,1.5,,,,,,"Section titles, bold emphasis",1
opencode.ai,Body,,16,400,,1.5,,,,,,"Standard body text, paragraphs",2
opencode.ai,Body Medium,,16,500,,1.5,,,,,,"Links, button text, nav items",3
opencode.ai,Body Tight,,16,500,,1,,,,,,"Compact labels, tab items",4
opencode.ai,Caption,,14,400,,2,,,,,,"Footnotes, metadata, small labels",5
pinterest,Display Hero,Pin Sans,70,600,,,,0,,,,Maximum impact,0
pinterest,Section Heading,Pin Sans,28,700,,,,-1.2,,,,Negative tracking,1
pinterest,Body,Pin Sans,16,400,,1.4,,0,,,,Standard reading,2
pinterest,Caption Bold,Pin Sans,14,700,,,,0,,,,Strong metadata,3
pinterest,Caption,Pin Sans,12,,400-500,1.5,,0,,,,"Small text, tags",4
pinterest,Button,Pin Sans,12,400,,,,0,,,,Button labels,5
posthog,Display Hero,IBM Plex Sans Variable,30,800,,1.2,,-0.75,,,,"Extra-bold, tight, maximum impact",0
posthog,Section Heading,IBM Plex Sans Variable,36,700,,1.5,,0,,,,Large but generous line-height,1
posthog,Feature Heading,IBM Plex Sans Variable,24,700,,1.33,,0,,,,Feature section titles,2
posthog,Card Heading,IBM Plex Sans Variable,21.4,700,,1.4,,-0.54,,,,Slightly unusual size (scaled),3
posthog,Sub-heading,IBM Plex Sans Variable,20,700,,1.4,,-0.5,,,,Content sub-sections,4
posthog,Sub-heading Uppercase,IBM Plex Sans Variable,20,700,,1.4,,0,,,,Uppercase transform for labels,5
posthog,Body Emphasis,IBM Plex Sans Variable,19.3,600,,1.56,,-0.48,,,,Semi-bold callout text,6
posthog,Label Uppercase,IBM Plex Sans Variable,18,700,,1.5,,0,,,,Uppercase category labels,7
posthog,Body Semi,IBM Plex Sans Variable,18,600,,1.56,,0,,,,Semi-bold body text,8
posthog,Body,IBM Plex Sans Variable,16,400,,1.5,,0,,,,Standard reading text,9
posthog,Body Medium,IBM Plex Sans Variable,16,500,,1.5,,0,,,,Medium-weight body,10
posthog,Body Relaxed,IBM Plex Sans Variable,15,400,,1.71,,0,,,,Relaxed line-height for long reads,11
posthog,Nav / UI,IBM Plex Sans Variable,15,600,,1.5,,0,,,,Navigation and UI labels,12
posthog,Caption,IBM Plex Sans Variable,14,,400-700,1.43,,0,,,,"Small text, various weights",13
posthog,Small Label,IBM Plex Sans Variable,13,,500-700,,1-1.5,0,,,,"Tags, badges, micro labels",14
posthog,Micro,IBM Plex Sans Variable,12,,400-700,1.33,,0,,,,"Smallest text, some uppercase",15
posthog,Code,Source Code Pro,14,500,,1.43,,0,,,,Code snippets and terminal,16
raycast,Display Hero,,64,600,,1.1,,0,,,,"OpenType: liga 0, ss02, ss08",0
raycast,Section Display,,56,400,,1.17,,0.2,,,,"OpenType: calt, kern, liga, ss03",1
raycast,Section Heading,,24,500,,,,0.2,,,,"OpenType: calt, kern, liga, ss03",2
raycast,Card Heading,,22,400,,1.15,,0,,,,"OpenType: calt, kern, liga, ss03",3
raycast,Sub-heading,,20,500,,1.6,,0.2,,,,Relaxed line-height for readability,4
raycast,Body Large,,18,400,,1.15,,0.2,,,,"OpenType: calt, kern, liga, ss03",5
raycast,Body,,16,500,,1.6,,0.2,,,,"Primary body text, relaxed rhythm",6
raycast,Body Tight,,16,400,,1.15,,0.1,,,,"UI labels, compact contexts",7
raycast,Button,,16,600,,1.15,,0.3,,,,"Semibold, slightly wider tracking",8
raycast,Nav Link,,16,500,,1.4,,0.3,,,,Links in navigation,9
raycast,Caption,,14,500,,1.14,,0.2,,,,"Small labels, metadata",10
raycast,Caption Bold,,14,600,,1.4,,0,,,,Emphasized captions,11
raycast,Small,,12,600,,1.33,,0,,,,"Badges, tags, micro-labels",12
raycast,Small Link,,12,400,,1.5,,0.4,,,,"Footer links, fine print",13
raycast,Code,,14,500,,1.6,,0.3,,,,"Code blocks, technical content",14
raycast,Code Small,,12,400,,1.6,,0.2,,,,"Inline code, terminal output",15
renault,Hero Title,,56,700,,0.95,,0,,,,"NouvelR, white on dark hero, all-caps model names",0
renault,Section Heading,,40,700,,0.95,,0,,,,"NouvelR, PromoCard headings on dark/light sections",1
renault,Card Heading,,32,700,,0.95,,0,,,,"NouvelR, medium-scale card headings",2
renault,Subheading,,24,700,,0.95,,0,,,,"NouvelR, section sub-titles",3
renault,Module Title,,21.92,600,,1.2,,0,,,,"NouvelR, component headings",4
renault,Content Title,,20,700,,0.95,,0,,,,"NouvelR, smaller section titles",5
renault,UI Heading,,19.2,600,,1.3,,0,,,,"NouvelR, card UI headings",6
renault,Emphasis,,18,700,,1,,0,,,,"NouvelR, emphasized inline text and links",7
renault,Body Heading,,16,700,,1.4,,0,,,,"NouvelR, paragraph-level headings",8
renault,Body Text,,14,400,,1.4,,0,,,,"NouvelR, paragraph and descriptive content",9
renault,Body Bold,,14,700,,1.57,,0,,,,"NouvelR, emphasized body text",10
renault,Button Label,,14.4,700,,1,,0.144,,,,"NouvelR, primary button text",11
renault,Nav Link,,13,700,,1.5,,0,,,,"NouvelR, navigation and footer links",12
renault,Caption,,12.8,400,,1.1,,0,,,,"NouvelR, small descriptive text",13
renault,Small Label,,12,700,,1,,0,,,,"NouvelR, labels and tags",14
renault,Micro Text,,10,700,,1.45,,0,,,,"NouvelR, smallest UI text, legal fine print",15
renault,Micro Caption,,8.5,400,,,,0,,,,"NouvelR, absolute smallest text (legal)",16
replicate,Display Mega,rb-freigeist-neue,128,700,,1,,0,,,,The maximum: closing manifesto,0
replicate,Display / Hero,rb-freigeist-neue,72,700,,1,,-1.8,,,,Hero section headline,1
replicate,Section Heading,rb-freigeist-neue,48,,400-700,1,,0,,,,Feature section titles,2
replicate,Sub-heading,rb-freigeist-neue,30,600,,1.2,,0,,,,Card headings,3
replicate,Sub-heading Sans,basier-square,38.4,400,,0.83,,0,,,,Large body headings,4
replicate,Feature Title,basier-square / rb-freigeist-neue,18,600,,1.56,,0,,,,"Small section titles, labels",5
replicate,Body Large,basier-square,20,400,,1.4,,0,,,,Intro paragraphs,6
replicate,Body / Button,basier-square,18,,400-600,,1.5-1.56,0,,,,"Standard text, buttons",7
replicate,Caption,basier-square,14,,400-600,1.43,,-0.35,,,,"Metadata, descriptions",8
replicate,Small / Tag,basier-square,12,400,,1.33,,0,,,,Tags (lowercase transform),9
replicate,Code,jetbrains-mono,14,400,,1.43,,0,,,,"Code snippets, API examples",10
replicate,Code Small,jetbrains-mono,11,400,,1.5,,0,,,,Tiny code references,11
resend,Display Hero,domaine,96,400,,1,,-0.96,,,,"`""ss01"", ""ss04"", ""ss11""`",0
resend,Display Hero Mobile,domaine,76.8,400,,1,,-0.768,,,,Scaled for mobile,1
resend,Section Heading,aBCFavorit,56,400,,1.2,,-2.8,,,,"`""ss01"", ""ss04"", ""ss11""`",2
resend,Sub-heading,aBCFavorit,20,400,,1.3,,0,,,,"`""ss01"", ""ss04"", ""ss11""`",3
resend,Sub-heading Compact,aBCFavorit,16,400,,1.5,,-0.8,,,,"`""ss01"", ""ss04"", ""ss11""`",4
resend,Feature Title,inter,24,500,,1.5,,0,,,,Section sub-headings,5
resend,Body Large,inter,18,400,,1.5,,0,,,,Introductions,6
resend,Body,inter,16,400,,1.5,,0,,,,Standard body text,7
resend,Body Semibold,inter,16,600,,1.5,,0,,,,"Emphasis, active states",8
